"Date (UTC)","Timestamp (UTC)","<300","300-349","350-399","400-449","450-499","500-549","550-599","600-649","650-699","700-749","750-799","800+"
"02-07-2025 18:00","1738951205","0.055","0.07","0.1","0.11","0.15","0.14","0.14","0.125","0.085","0.075","0.07","0.055"
"02-07-2025 19:00","1738954805","0.095","0.075","0.1","0.115","0.165","0.135","0.11","0.13","0.08","0.031","0.017","0.0155"
"02-07-2025 20:00","1738958404","0.075","0.085","0.1","0.135","0.165","0.135","0.14","0.095","0.07","0.036","0.019","0.0155"
"02-07-2025 21:00","1738962005","0.075","0.085","0.1","0.13","0.165","0.14","0.12","0.105","0.075","0.0385","0.019","0.0135"
"02-07-2025 22:00","1738965605","0.035","0.065","0.085","0.115","0.15","0.145","0.125","0.115","0.09","0.041","0.0215","0.019"
"02-07-2025 23:00","1738969204","0.016","0.022","0.055","0.085","0.135","0.145","0.155","0.145","0.125","0.0705","0.0455","0.0355"
"02-08-2025 00:00","1738972804","0.023","0.0355","0.055","0.08","0.105","0.155","0.15","0.145","0.12","0.073","0.045","0.0275"
"02-08-2025 01:00","1738976404","0.018","0.0315","0.055","0.08","0.105","0.155","0.15","0.14","0.135","0.0755","0.0335","0.033"
"02-08-2025 02:00","1738980004","0.014","0.029","0.045","0.075","0.115","0.155","0.165","0.155","0.135","0.075","0.0425","0.0325"
"02-08-2025 03:00","1738983605","0.0155","0.0225","0.045","0.075","0.105","0.165","0.165","0.155","0.15","0.0875","0.036","0.025"
"02-08-2025 04:00","1738987205","0.0145","0.0215","0.0355","0.075","0.105","0.155","0.155","0.15","0.145","0.079","0.036","0.025"
"02-08-2025 05:00","1738990804","0.013","0.0205","0.0365","0.075","0.105","0.16","0.165","0.165","0.155","0.091","0.033","0.023"
"02-08-2025 06:00","1738994405","0.013","0.017","0.036","0.065","0.105","0.155","0.155","0.155","0.16","0.1015","0.05","0.0275"
"02-08-2025 07:00","1738998004","0.0125","0.0195","0.036","0.065","0.115","0.165","0.16","0.165","0.15","0.091","0.046","0.021"
"02-08-2025 08:00","1739001605","0.0145","0.022","0.039","0.075","0.105","0.155","0.15","0.155","0.155","0.096","0.048","0.022"
"02-08-2025 09:00","1739005204","0.014","0.0255","0.0425","0.105","0.105","0.135","0.135","0.165","0.155","0.0855","0.0475","0.0185"
"02-08-2025 10:00","1739008804","0.0125","0.0225","0.0435","0.105","0.11","0.145","0.14","0.155","0.14","0.0995","0.0475","0.023"
"02-08-2025 11:00","1739012405","0.013","0.0155","0.0435","0.075","0.135","0.145","0.135","0.155","0.145","0.103","0.051","0.021"
"02-08-2025 12:00","1739016005","0.0145","0.0195","0.0485","0.095","0.125","0.14","0.145","0.145","0.155","0.0945","0.0475","0.019"
"02-08-2025 13:00","1739019605","0.014","0.0125","0.0455","0.085","0.135","0.135","0.145","0.145","0.155","0.0935","0.0505","0.0225"
"02-08-2025 14:00","1739023205","0.013","0.0145","0.049","0.085","0.135","0.145","0.155","0.145","0.115","0.09","0.048","0.032"
"02-08-2025 15:00","1739026806","0.0135","0.032","0.055","0.085","0.13","0.15","0.155","0.145","0.125","0.0765","0.0465","0.0155"
"02-08-2025 16:00","1739030405","0.0135","0.0355","0.056","0.1","0.135","0.165","0.165","0.135","0.105","0.075","0.0455","0.013"
"02-08-2025 17:00","1739034005","0.017","0.0295","0.0575","0.105","0.135","0.16","0.155","0.135","0.105","0.0745","0.0415","0.021"
"02-08-2025 18:00","1739037605","0.021","0.029","0.0585","0.105","0.14","0.16","0.145","0.135","0.095","0.0725","0.035","0.0155"
"02-08-2025 19:00","1739041205","0.0105","0.0285","0.058","0.1","0.145","0.155","0.145","0.13","0.105","0.0475","0.036","0.016"
"02-08-2025 20:00","1739044806","0.0115","0.0295","0.074","0.1","0.15","0.165","0.155","0.145","0.085","0.058","0.0375","0.015"
"02-08-2025 21:00","1739048405","0.0055","0.013","0.033","0.075","0.115","0.165","0.155","0.165","0.145","0.067","0.0365","0.0245"
"02-08-2025 22:00","1739052005","0.0055","0.014","0.0325","0.075","0.13","0.165","0.165","0.175","0.155","0.066","0.036","0.022"
"02-08-2025 23:00","1739055605","0.0055","0.015","0.033","0.075","0.125","0.165","0.17","0.17","0.175","0.0655","0.0325","0.0175"
"02-09-2025 00:00","1739059206","0.007","0.0135","0.032","0.065","0.115","0.165","0.17","0.165","0.165","0.076","0.035","0.0245"
"02-09-2025 01:00","1739062805","0.0055","0.013","0.0315","0.065","0.105","0.155","0.17","0.185","0.155","0.08","0.0285","0.021"
"02-09-2025 02:00","1739066405","0.0045","0.0115","0.028","0.065","0.115","0.165","0.175","0.17","0.15","0.0785","0.027","0.0175"
"02-09-2025 03:00","1739070005","0.0045","0.0125","0.0325","0.065","0.115","0.16","0.175","0.17","0.155","0.077","0.029","0.019"
"02-09-2025 04:00","1739073605","0.006","0.018","0.03","0.075","0.115","0.16","0.17","0.17","0.16","0.0725","0.029","0.0205"
"02-09-2025 05:00","1739077205","0.0055","0.018","0.031","0.075","0.115","0.16","0.17","0.17","0.155","0.0665","0.0295","0.014"
"02-09-2025 06:00","1739080804","0.004","0.018","0.037","0.065","0.105","0.145","0.175","0.17","0.155","0.062","0.0285","0.013"
"02-09-2025 07:00","1739084405","0.0045","0.017","0.037","0.065","0.115","0.16","0.18","0.19","0.155","0.0605","0.0275","0.0155"
"02-09-2025 08:00","1739088005","0.004","0.0125","0.0295","0.065","0.115","0.16","0.19","0.18","0.155","0.076","0.0295","0.0195"
"02-09-2025 09:00","1739091605","0.0025","0.0105","0.022","0.055","0.115","0.155","0.19","0.18","0.16","0.0725","0.034","0.0235"
"02-09-2025 10:00","1739095205","0.0035","0.0085","0.023","0.055","0.115","0.175","0.185","0.175","0.165","0.071","0.0355","0.0235"
"02-09-2025 11:00","1739098804","0.0105","0.009","0.023","0.055","0.115","0.165","0.185","0.185","0.165","0.0735","0.036","0.0205"
"02-09-2025 12:00","1739102405","0.0045","0.0075","0.023","0.045","0.115","0.175","0.195","0.185","0.175","0.0685","0.034","0.012"
"02-09-2025 13:00","1739106004","0.0035","0.006","0.025","0.055","0.115","0.165","0.185","0.195","0.175","0.067","0.033","0.012"
"02-09-2025 14:00","1739109605","0.004","0.005","0.0165","0.05","0.105","0.155","0.185","0.195","0.175","0.086","0.035","0.0215"
"02-09-2025 15:00","1739113205","0.002","0.003","0.014","0.0235","0.065","0.135","0.175","0.205","0.205","0.0945","0.0765","0.0345"
"02-09-2025 16:00","1739116804","0.0015","0.0025","0.0105","0.023","0.075","0.135","0.17","0.205","0.17","0.118","0.0775","0.038"
"02-09-2025 17:00","1739120404","0.0015","0.0025","0.0085","0.039","0.08","0.135","0.165","0.205","0.19","0.093","0.0435","0.021"
"02-09-2025 18:00","1739124004","0.0015","0.0025","0.0095","0.0255","0.075","0.135","0.15","0.205","0.195","0.111","0.0615","0.035"
"02-09-2025 19:00","1739127605","0.0015","0.0025","0.008","0.0235","0.07","0.13","0.145","0.195","0.2","0.1225","0.0575","0.034"
"02-09-2025 20:00","1739131205","0.0015","0.0025","0.008","0.015","0.045","0.125","0.135","0.195","0.205","0.158","0.088","0.058"
"02-09-2025 21:00","1739134805","0.0015","0.0025","0.0065","0.015","0.045","0.11","0.125","0.165","0.195","0.1565","0.094","0.0665"
"02-09-2025 22:00","1739138405","0.001","0.0025","0.007","0.021","0.06","0.095","0.135","0.165","0.185","0.1675","0.098","0.067"
"02-09-2025 23:00","1739142005","0.0005","0.0025","0.0035","0.019","0.045","0.095","0.145","0.17","0.195","0.165","0.0945","0.0725"
"02-10-2025 00:00","1739145605","0.0025","0.0035","0.003","0.0195","0.04","0.115","0.15","0.155","0.19","0.1705","0.097","0.0755"
"02-10-2025 01:00","1739149205","0.0005","0.0025","0.003","0.0175","0.0405","0.1","0.15","0.155","0.205","0.1625","0.106","0.0815"
"02-10-2025 02:00","1739152804","0.001","0.002","0.003","0.0125","0.0355","0.1","0.15","0.155","0.21","0.167","0.1115","0.086"
"02-10-2025 03:00","1739156405","0.0005","0.002","0.003","0.014","0.0345","0.085","0.145","0.15","0.205","0.1535","0.113","0.087"
"02-10-2025 04:00","1739160005","0.0005","0.0005","0.003","0.012","0.031","0.075","0.155","0.15","0.215","0.1655","0.114","0.091"
"02-10-2025 05:00","1739163604","0.0005","0.0005","0.002","0.013","0.031","0.075","0.14","0.155","0.215","0.1735","0.114","0.092"
"02-10-2025 06:00","1739167205","0.001","0.001","0.003","0.012","0.0255","0.065","0.135","0.155","0.205","0.17","0.1285","0.097"
"02-10-2025 07:00","1739170804","0.0005","0.001","0.0035","0.008","0.016","0.055","0.105","0.16","0.21","0.185","0.148","0.127"
"02-10-2025 08:00","1739174404","0.0005","0.0005","0.002","0.0075","0.021","0.055","0.105","0.16","0.215","0.1775","0.14","0.1215"
"02-10-2025 09:00","1739178005","0.0005","0.0005","0.0025","0.0045","0.0155","0.0335","0.08","0.155","0.195","0.174","0.149","0.165"
"02-10-2025 10:00","1739181604","","0.0005","0.0025","0.0045","0.008","0.0355","0.075","0.135","0.165","0.1635","0.1705","0.1895"
"02-10-2025 11:00","1739185204","","0.0005","0.0005","0.002","0.0075","0.0245","0.075","0.14","0.175","0.1525","0.1545","0.25"
"02-10-2025 12:00","1739188804","","0.0005","0.0015","0.002","0.007","0.019","0.065","0.125","0.155","0.175","0.2","0.2545"
"02-10-2025 13:00","1739192404","","0.0005","0.0005","0.003","0.0085","0.0165","0.055","0.135","0.17","0.175","0.1805","0.231"
"02-10-2025 14:00","1739196004","","","0.002","0.0025","0.0095","0.0295","0.05","0.145","0.18","0.1765","0.187","0.226"
"02-10-2025 15:00","1739199604","","","0.001","0.002","0.007","0.0215","0.045","0.125","0.195","0.199","0.19","0.207"
"02-10-2025 16:00","1739203204","","","0.001","0.0015","0.004","0.021","0.04","0.115","0.145","0.1375","0.19","0.3375"
"02-10-2025 17:00","1739206804","","","0.0005","0.0015","0.0035","0.013","0.03","0.085","0.115","0.1795","0.1985","0.304"
"02-10-2025 18:00","1739210404","","","0.0005","0.001","0.004","0.0075","0.0285","0.06","0.115","0.1365","0.148","0.4575"
"02-10-2025 19:00","1739214004","","","0.0005","0.001","0.0035","0.007","0.0145","0.065","0.11","0.183","0.1675","0.424"
"02-10-2025 20:00","1739217604","","","0.0005","0.001","0.0035","0.0075","0.017","0.05","0.095","0.166","0.21","0.427"
"02-10-2025 21:00","1739221203","","","0.0005","0.0005","0.0035","0.0075","0.0145","0.05","0.08","0.146","0.1775","0.453"
"02-10-2025 22:00","1739224804","","","0.0005","0.0005","0.0035","0.0055","0.0195","0.05","0.07","0.1295","0.162","0.515"
"02-10-2025 23:00","1739228404","","","","0.0005","0.0015","0.0035","0.015","0.029","0.075","0.1265","0.1555","0.519"
"02-11-2025 00:00","1739232004","","","","0.0005","0.001","0.0035","0.019","0.037","0.075","0.142","0.185","0.504"
"02-11-2025 01:00","1739235603","","","","0.0005","0.0005","0.0045","0.028","0.0455","0.085","0.143","0.1915","0.475"
"02-11-2025 02:00","1739239204","","","","0.0005","0.0005","0.0045","0.0265","0.031","0.085","0.163","0.1955","0.444"
"02-11-2025 03:00","1739242804","","","","0.0005","0.0005","0.005","0.024","0.0435","0.105","0.1895","0.174","0.4255"
"02-11-2025 04:00","1739246404","","","","0.0005","0.0005","0.005","0.0245","0.044","0.115","0.196","0.1835","0.443"
"02-11-2025 05:00","1739250004","","","","0.0005","0.0005","0.0045","0.018","0.0395","0.1","0.197","0.2105","0.4435"
"02-11-2025 06:00","1739253604","","","","0.0005","0.0005","0.003","0.01","0.0415","0.09","0.2065","0.2245","0.406"
"02-11-2025 07:00","1739257204","","","","0.0005","0.0005","0.0015","0.0085","0.039","0.12","0.221","0.2145","0.394"
"02-11-2025 08:00","1739260804","","","","0.0005","0.0005","0.0015","0.0135","0.0395","0.09","0.1385","0.187","0.5055"
"02-11-2025 09:00","1739264405","","","","0.0005","0.0005","0.001","0.004","0.0355","0.075","0.119","0.196","0.511"
"02-11-2025 10:00","1739268004","","","","","0.0005","0.0005","0.003","0.014","0.0365","0.0935","0.166","0.6535"
"02-11-2025 11:00","1739271604","","","","","0.0005","0.0015","0.003","0.0085","0.037","0.086","0.15","0.689"
"02-11-2025 12:00","1739275204","","","","","0.0005","0.0025","0.003","0.0065","0.0295","0.0905","0.1595","0.6875"
