"Date (UTC)","Timestamp (UTC)","<500","500-549","550-599","600-649","650-699","700-749","750-799","800-849","850-899","900-949","950-999","1000+"
"02-28-2025 18:00","1740765605","0.11","0.08","0.095","0.105","0.105","0.125","0.145","0.095","0.065","0.06","0.037","0.0275"
"02-28-2025 19:00","1740769205","0.125","0.085","0.095","0.095","0.115","0.145","0.135","0.095","0.075","0.045","0.026","0.025"
"02-28-2025 20:00","1740772805","0.125","0.085","0.095","0.095","0.12","0.135","0.15","0.095","0.065","0.0385","0.0245","0.021"
"02-28-2025 21:00","1740776405","0.12","0.08","0.09","0.105","0.115","0.145","0.155","0.12","0.065","0.045","0.023","0.0215"
"02-28-2025 22:00","1740780004","0.115","0.075","0.09","0.1","0.105","0.135","0.145","0.125","0.075","0.0415","0.0315","0.03"
"02-28-2025 23:00","1740783605","0.095","0.075","0.085","0.105","0.115","0.135","0.14","0.11","0.075","0.0515","0.031","0.044"
"03-01-2025 00:00","1740787205","0.065","0.085","0.105","0.105","0.125","0.135","0.135","0.115","0.065","0.054","0.0255","0.03"
"03-01-2025 01:00","1740790805","0.045","0.07","0.085","0.105","0.135","0.175","0.165","0.115","0.075","0.0515","0.033","0.028"
"03-01-2025 02:00","1740794405","0.055","0.07","0.095","0.105","0.135","0.15","0.155","0.11","0.065","0.05","0.031","0.0275"
"03-01-2025 03:00","1740798005","0.055","0.06","0.095","0.105","0.145","0.165","0.155","0.11","0.065","0.0465","0.0285","0.0265"
"03-01-2025 04:00","1740801604","0.07","0.065","0.085","0.115","0.135","0.155","0.145","0.105","0.065","0.048","0.029","0.025"
"03-01-2025 05:00","1740805205","0.075","0.085","0.085","0.105","0.135","0.155","0.135","0.105","0.065","0.0465","0.026","0.029"
"03-01-2025 06:00","1740808805","0.08","0.09","0.085","0.11","0.13","0.145","0.14","0.105","0.065","0.0455","0.031","0.024"
"03-01-2025 07:00","1740812405","0.085","0.085","0.095","0.115","0.145","0.13","0.135","0.105","0.065","0.039","0.022","0.0225"
"03-01-2025 08:00","1740816005","0.115","0.085","0.115","0.115","0.145","0.125","0.135","0.085","0.055","0.031","0.018","0.0215"
"03-01-2025 09:00","1740819605","0.115","0.085","0.115","0.115","0.135","0.14","0.135","0.09","0.055","0.025","0.016","0.016"
"03-01-2025 10:00","1740823205","0.105","0.095","0.115","0.115","0.145","0.135","0.135","0.085","0.045","0.023","0.016","0.015"
"03-01-2025 11:00","1740826805","0.105","0.105","0.115","0.125","0.145","0.135","0.125","0.085","0.045","0.0205","0.016","0.0145"
"03-01-2025 12:00","1740830405","0.125","0.1","0.115","0.135","0.135","0.135","0.115","0.09","0.045","0.026","0.0145","0.014"
"03-01-2025 13:00","1740834005","0.13","0.105","0.125","0.145","0.135","0.115","0.105","0.08","0.045","0.0205","0.014","0.01"
"03-01-2025 14:00","1740837605","0.105","0.105","0.125","0.15","0.135","0.115","0.105","0.085","0.045","0.022","0.0135","0.01"
"03-01-2025 15:00","1740841205","0.12","0.105","0.105","0.15","0.155","0.135","0.105","0.075","0.045","0.0185","0.012","0.009"
"03-01-2025 16:00","1740844805","0.12","0.105","0.105","0.14","0.155","0.135","0.105","0.085","0.045","0.0165","0.012","0.0085"
"03-01-2025 17:00","1740848405","0.145","0.135","0.115","0.135","0.135","0.115","0.105","0.075","0.045","0.0145","0.0105","0.0085"
"03-01-2025 18:00","1740852005","0.14","0.135","0.125","0.135","0.125","0.115","0.105","0.08","0.045","0.0125","0.0145","0.0105"
"03-01-2025 19:00","1740855605","0.135","0.135","0.125","0.135","0.125","0.115","0.095","0.08","0.045","0.0135","0.0125","0.0085"
"03-01-2025 20:00","1740859204","0.145","0.135","0.135","0.135","0.13","0.115","0.095","0.085","0.04","0.0125","0.0125","0.009"
"03-01-2025 21:00","1740862805","0.135","0.135","0.135","0.135","0.125","0.13","0.105","0.07","0.034","0.0125","0.0105","0.009"
"03-01-2025 22:00","1740866405","0.145","0.14","0.125","0.125","0.125","0.135","0.095","0.075","0.0365","0.0125","0.0105","0.0085"
"03-01-2025 23:00","1740870005","0.155","0.155","0.135","0.145","0.125","0.125","0.085","0.055","0.0305","0.015","0.0075","0.0085"
"03-02-2025 00:00","1740873605","0.155","0.155","0.145","0.14","0.125","0.125","0.085","0.055","0.0255","0.0135","0.0075","0.0075"
