"Date (UTC)","Timestamp (UTC)","<200","200-224","225-249","250-274","275-299","300-324","325-349","350-374","375-399","400-424","425-449","450+"
"01-31-2025 18:00","1738346404","0.085","0.095","0.105","0.17","0.13","0.135","0.125","0.11","0.1","0.1","0.085","0.075"
"01-31-2025 19:00","1738350004","0.08","0.075","0.075","0.105","0.105","0.125","0.095","0.1","0.08","0.075","0.035","0.08"
"01-31-2025 20:00","1738353604","0.045","0.0605","0.075","0.095","0.105","0.11","0.105","0.125","0.11","0.11","0.076","0.13"
"01-31-2025 21:00","1738357204","0.044","0.047","0.07","0.105","0.12","0.12","0.11","0.115","0.095","0.08","0.07","0.115"
"01-31-2025 22:00","1738360804","0.0435","0.044","0.055","0.095","0.095","0.125","0.105","0.105","0.105","0.095","0.0655","0.115"
"01-31-2025 23:00","1738364404","0.052","0.0485","0.07","0.105","0.095","0.125","0.115","0.105","0.09","0.075","0.055","0.125"
"02-01-2025 00:00","1738368005","0.0535","0.0525","0.075","0.095","0.095","0.125","0.115","0.105","0.085","0.075","0.0455","0.125"
"02-01-2025 01:00","1738371604","0.048","0.0515","0.085","0.095","0.095","0.115","0.115","0.105","0.095","0.085","0.043","0.115"
"02-01-2025 02:00","1738375204","0.0425","0.049","0.065","0.095","0.105","0.125","0.105","0.105","0.1","0.095","0.0525","0.105"
"02-01-2025 03:00","1738378804","0.044","0.0475","0.075","0.095","0.105","0.125","0.105","0.105","0.095","0.095","0.0495","0.105"
"02-01-2025 04:00","1738382404","0.0515","0.0485","0.075","0.105","0.105","0.125","0.105","0.105","0.095","0.095","0.048","0.085"
"02-01-2025 05:00","1738386004","0.0525","0.051","0.065","0.105","0.105","0.125","0.105","0.105","0.095","0.095","0.0555","0.085"
"02-01-2025 06:00","1738389604","0.049","0.0495","0.075","0.105","0.105","0.115","0.105","0.105","0.085","0.095","0.057","0.105"
"02-01-2025 07:00","1738393204","0.038","0.044","0.07","0.095","0.095","0.115","0.105","0.105","0.085","0.095","0.0745","0.13"
