"Date (UTC)","Timestamp (UTC)","<400","400-424","425-449","450-474","475-499","500-524","525-549","550-574","575-599","600-624","625-649","650-674","675-699","700+"
"03-14-2025 16:00","1741968004","0.105","0.105","0.1","0.105","0.1","0.145","0.105","0.085","0.06","0.07","0.06","0.03","0.025","0.05"
"03-14-2025 17:00","1741971605","0.09","0.075","0.08","0.115","0.105","0.135","0.105","0.095","0.075","0.058","0.0485","0.0245","0.0225","0.039"
"03-14-2025 18:00","1741975205","0.075","0.085","0.08","0.085","0.1","0.135","0.115","0.085","0.075","0.0555","0.044","0.0235","0.022","0.034"
"03-14-2025 19:00","1741978804","0.085","0.085","0.095","0.095","0.105","0.135","0.115","0.085","0.075","0.054","0.0415","0.022","0.0185","0.0365"
"03-14-2025 20:00","1741982404","0.085","0.075","0.085","0.095","0.105","0.135","0.12","0.1","0.075","0.054","0.042","0.0235","0.0215","0.0385"
"03-14-2025 21:00","1741986005","0.1","0.1","0.085","0.095","0.11","0.13","0.105","0.1","0.07","0.0535","0.0315","0.023","0.0195","0.0275"
"03-14-2025 22:00","1741989605","0.115","0.075","0.085","0.095","0.115","0.125","0.105","0.075","0.065","0.0565","0.025","0.0215","0.0175","0.0275"
"03-14-2025 23:00","1741993204","0.125","0.08","0.085","0.095","0.115","0.125","0.105","0.075","0.065","0.053","0.027","0.023","0.0155","0.027"
"03-15-2025 00:00","1741996804","0.11","0.085","0.085","0.1","0.115","0.125","0.105","0.085","0.065","0.0505","0.0265","0.0165","0.012","0.023"
"03-15-2025 01:00","1742000404","0.13","0.09","0.085","0.1","0.105","0.125","0.095","0.075","0.065","0.0465","0.0245","0.023","0.01","0.0245"
"03-15-2025 02:00","1742004004","0.115","0.095","0.095","0.1","0.11","0.125","0.105","0.075","0.065","0.047","0.0245","0.024","0.0175","0.025"
"03-15-2025 03:00","1742007604","0.11","0.095","0.095","0.105","0.115","0.13","0.11","0.09","0.085","0.0455","0.023","0.019","0.0165","0.0225"
"03-15-2025 04:00","1742011205","0.095","0.085","0.095","0.115","0.115","0.125","0.115","0.095","0.075","0.046","0.0205","0.0205","0.0195","0.0245"
"03-15-2025 05:00","1742014805","0.105","0.085","0.095","0.11","0.115","0.125","0.115","0.095","0.065","0.0465","0.032","0.0195","0.018","0.026"
"03-15-2025 06:00","1742018405","0.075","0.07","0.08","0.115","0.125","0.135","0.125","0.105","0.075","0.0495","0.0285","0.0225","0.017","0.028"
"03-15-2025 07:00","1742022004","0.065","0.06","0.08","0.115","0.125","0.135","0.125","0.105","0.075","0.0575","0.027","0.0215","0.0165","0.0245"
"03-15-2025 08:00","1742025604","0.065","0.045","0.075","0.115","0.135","0.14","0.125","0.105","0.065","0.0455","0.0265","0.017","0.0115","0.0145"
"03-15-2025 09:00","1742029204","0.037","0.045","0.065","0.12","0.135","0.135","0.13","0.11","0.065","0.0475","0.0275","0.0165","0.0125","0.02"
"03-15-2025 10:00","1742032804","0.0355","0.0345","0.065","0.12","0.135","0.14","0.135","0.105","0.075","0.0605","0.0265","0.024","0.0185","0.015"
"03-15-2025 11:00","1742036405","0.032","0.0385","0.055","0.115","0.125","0.14","0.135","0.115","0.105","0.075","0.0395","0.0315","0.025","0.0275"
"03-15-2025 12:00","1742040004","0.032","0.043","0.055","0.115","0.125","0.135","0.135","0.115","0.095","0.067","0.036","0.0335","0.021","0.0285"
"03-15-2025 13:00","1742043604","0.0325","0.0435","0.065","0.115","0.125","0.14","0.125","0.12","0.085","0.0935","0.0335","0.0285","0.0175","0.0285"
"03-15-2025 14:00","1742047204","0.035","0.044","0.065","0.115","0.125","0.135","0.125","0.115","0.085","0.0695","0.038","0.0295","0.02","0.021"
"03-15-2025 15:00","1742050804","0.038","0.043","0.065","0.105","0.13","0.135","0.125","0.115","0.085","0.0665","0.0405","0.0245","0.02","0.0205"
"03-15-2025 16:00","1742054405","0.0255","0.0395","0.065","0.105","0.135","0.135","0.125","0.115","0.085","0.076","0.039","0.029","0.02","0.022"
"03-15-2025 17:00","1742058004","0.0315","0.0425","0.085","0.105","0.135","0.145","0.125","0.115","0.095","0.068","0.039","0.0225","0.0195","0.018"
"03-15-2025 18:00","1742061604","0.0555","0.0475","0.08","0.115","0.135","0.145","0.125","0.105","0.095","0.0665","0.039","0.0175","0.0175","0.019"
"03-15-2025 19:00","1742065204","0.0665","0.0605","0.09","0.115","0.135","0.135","0.125","0.095","0.075","0.052","0.0315","0.019","0.0135","0.0155"
"03-15-2025 20:00","1742068805","0.08","0.0695","0.1","0.115","0.135","0.135","0.125","0.09","0.075","0.047","0.031","0.018","0.013","0.0175"
"03-15-2025 21:00","1742072404","0.0735","0.068","0.105","0.115","0.125","0.135","0.125","0.085","0.065","0.0455","0.026","0.0165","0.0105","0.0115"
"03-15-2025 22:00","1742076004","0.056","0.057","0.085","0.115","0.125","0.145","0.125","0.085","0.07","0.0465","0.0255","0.016","0.009","0.011"
"03-15-2025 23:00","1742079605","0.0675","0.0665","0.085","0.115","0.125","0.145","0.125","0.105","0.07","0.046","0.022","0.0155","0.008","0.013"
"03-16-2025 00:00","1742083204","0.0665","0.0765","0.11","0.115","0.125","0.145","0.125","0.105","0.065","0.0485","0.021","0.017","0.0075","0.011"
"03-16-2025 01:00","1742086804","0.0745","0.0885","0.115","0.115","0.125","0.145","0.125","0.105","0.065","0.0445","0.0215","0.018","0.0095","0.011"
"03-16-2025 02:00","1742090404","0.075","0.099","0.105","0.105","0.13","0.145","0.125","0.105","0.065","0.036","0.0185","0.017","0.0065","0.007"
