"Date (UTC)","Timestamp (UTC)","<250","250-274","275-299","300-324","325-349","350-374","375-399","400-424","425-449","450-474","475-499","500-524","525-549","550-574","575-599","600+"
"04-04-2025 18:00","1743789606","0.045","0.0455","0.085","0.095","0.105","0.115","0.115","0.115","0.085","0.065","0.0505","0.035","0.025","0.03","0.024","0.02"
"04-04-2025 19:00","1743793206","0.036","0.0425","0.065","0.1","0.12","0.13","0.135","0.135","0.085","0.065","0.0395","0.027","0.021","0.016","0.016","0.0205"
"04-04-2025 20:00","1743796806","0.034","0.037","0.045","0.095","0.12","0.13","0.135","0.125","0.095","0.065","0.038","0.0275","0.019","0.0125","0.0145","0.0175"
"04-04-2025 21:00","1743800406","0.043","0.045","0.075","0.095","0.11","0.145","0.135","0.115","0.085","0.07","0.0415","0.0345","0.0195","0.019","0.018","0.0185"
"04-04-2025 22:00","1743804006","0.0585","0.055","0.07","0.095","0.095","0.125","0.135","0.145","0.085","0.07","0.042","0.031","0.0175","0.0185","0.018","0.013"
"04-04-2025 23:00","1743807606","0.038","0.054","0.075","0.095","0.09","0.125","0.135","0.145","0.085","0.075","0.0425","0.0305","0.0175","0.0185","0.0135","0.013"
"04-05-2025 00:00","1743811205","0.0405","0.053","0.075","0.105","0.095","0.125","0.135","0.125","0.075","0.085","0.0425","0.0335","0.025","0.019","0.0135","0.012"
"04-05-2025 01:00","1743814806","0.055","0.052","0.075","0.095","0.09","0.115","0.125","0.115","0.085","0.075","0.0435","0.0335","0.0245","0.018","0.014","0.0125"
"04-05-2025 02:00","1743818406","0.068","0.0725","0.075","0.105","0.095","0.12","0.125","0.12","0.08","0.065","0.0385","0.0195","0.0245","0.0155","0.012","0.012"
"04-05-2025 03:00","1743822006","0.068","0.078","0.075","0.1","0.095","0.125","0.125","0.12","0.08","0.055","0.036","0.0205","0.016","0.0135","0.011","0.0115"
"04-05-2025 04:00","1743825606","0.076","0.075","0.085","0.1","0.095","0.125","0.125","0.12","0.08","0.055","0.0325","0.0195","0.014","0.013","0.011","0.0115"
"04-05-2025 05:00","1743829206","0.107","0.096","0.105","0.1","0.095","0.125","0.125","0.095","0.065","0.045","0.0335","0.0205","0.016","0.0115","0.0095","0.0115"
"04-05-2025 06:00","1743832805","0.1265","0.089","0.1","0.095","0.095","0.125","0.125","0.1","0.06","0.04","0.023","0.0155","0.0155","0.0115","0.0095","0.0105"
"04-05-2025 07:00","1743836405","0.139","0.1","0.1","0.105","0.11","0.125","0.125","0.095","0.045","0.0345","0.0205","0.013","0.0105","0.0105","0.0085","0.0105"
"04-05-2025 08:00","1743840005","0.15","0.101","0.105","0.105","0.11","0.125","0.115","0.095","0.04","0.0315","0.0205","0.013","0.015","0.0115","0.0085","0.01"
"04-05-2025 09:00","1743843605","0.1515","0.095","0.1","0.1","0.11","0.115","0.11","0.08","0.0355","0.0305","0.0205","0.0125","0.013","0.011","0.0075","0.0095"
"04-05-2025 10:00","1743847205","0.19","0.093","0.1","0.1","0.115","0.115","0.115","0.08","0.0365","0.0305","0.0205","0.0115","0.013","0.011","0.0065","0.0095"
"04-05-2025 11:00","1743850806","0.1765","0.091","0.1","0.1","0.115","0.115","0.105","0.08","0.0365","0.026","0.0245","0.0125","0.0125","0.011","0.0065","0.009"
"04-05-2025 12:00","1743854406","0.2115","0.0935","0.09","0.1","0.105","0.115","0.1","0.08","0.0375","0.0255","0.0225","0.012","0.0115","0.011","0.0065","0.009"
"04-05-2025 13:00","1743858005","0.2425","0.093","0.085","0.1","0.1","0.115","0.095","0.075","0.035","0.023","0.021","0.012","0.0105","0.01","0.0065","0.0085"
"04-05-2025 14:00","1743861605","0.198","0.091","0.095","0.105","0.1","0.105","0.09","0.075","0.033","0.023","0.0215","0.0125","0.0095","0.0095","0.0065","0.0085"
"04-05-2025 15:00","1743865205","0.181","0.104","0.115","0.11","0.105","0.105","0.085","0.08","0.0375","0.0245","0.022","0.013","0.0095","0.013","0.0065","0.0085"
"04-05-2025 16:00","1743868805","0.2085","0.108","0.115","0.115","0.095","0.105","0.065","0.085","0.043","0.027","0.018","0.014","0.0095","0.0105","0.0065","0.0085"
"04-05-2025 17:00","1743872405","0.188","0.107","0.1","0.125","0.095","0.105","0.065","0.08","0.042","0.0265","0.018","0.0125","0.0125","0.012","0.0075","0.009"
"04-05-2025 18:00","1743876006","0.1865","0.1125","0.115","0.12","0.095","0.105","0.07","0.07","0.042","0.0265","0.021","0.013","0.016","0.015","0.011","0.009"
"04-05-2025 19:00","1743879606","0.1725","0.1125","0.115","0.12","0.1","0.105","0.075","0.07","0.042","0.0275","0.0185","0.014","0.013","0.0135","0.01","0.0085"
"04-05-2025 20:00","1743883206","0.2165","0.1275","0.11","0.115","0.095","0.105","0.075","0.07","0.0405","0.027","0.0175","0.0115","0.0085","0.0075","0.0065","0.0075"
"04-05-2025 21:00","1743886806","0.2225","0.1275","0.11","0.115","0.095","0.105","0.075","0.065","0.042","0.0265","0.0155","0.0135","0.0085","0.0095","0.0095","0.0085"
"04-05-2025 22:00","1743890405","0.216","0.113","0.115","0.115","0.105","0.105","0.075","0.065","0.0425","0.0285","0.0155","0.0135","0.0085","0.009","0.0095","0.0085"
"04-05-2025 23:00","1743894006","0.2195","0.1065","0.12","0.115","0.105","0.105","0.075","0.06","0.042","0.0285","0.014","0.011","0.0115","0.008","0.0075","0.009"
"04-06-2025 00:00","1743897605","0.1965","0.1355","0.14","0.12","0.105","0.09","0.09","0.075","0.047","0.035","0.015","0.012","0.011","0.0095","0.0085","0.009"
"04-06-2025 01:00","1743901205","0.204","0.1365","0.14","0.11","0.105","0.09","0.08","0.07","0.038","0.031","0.0165","0.011","0.0095","0.0125","0.0085","0.01"
"04-06-2025 02:00","1743904806","0.215","0.135","0.125","0.115","0.105","0.085","0.07","0.065","0.036","0.033","0.013","0.009","0.0095","0.0075","0.0085","0.009"
"04-06-2025 03:00","1743908405","0.184","0.1515","0.14","0.11","0.12","0.1","0.09","0.05","0.035","0.0305","0.013","0.0085","0.009","0.009","0.008","0.009"
"04-06-2025 04:00","1743912006","0.177","0.1325","0.13","0.13","0.13","0.09","0.105","0.05","0.033","0.0305","0.0105","0.0085","0.007","0.007","0.006","0.009"
"04-06-2025 05:00","1743915605","0.1945","0.1555","0.145","0.115","0.125","0.085","0.075","0.05","0.0335","0.022","0.0105","0.007","0.008","0.008","0.008","0.009"
"04-06-2025 06:00","1743919206","0.183","0.161","0.155","0.125","0.105","0.085","0.065","0.055","0.034","0.022","0.012","0.0075","0.008","0.008","0.007","0.008"
"04-06-2025 07:00","1743922807","0.205","0.161","0.155","0.115","0.105","0.075","0.065","0.04","0.031","0.021","0.0105","0.007","0.0065","0.006","0.0055","0.008"
"04-06-2025 08:00","1743926406","0.2325","0.16","0.155","0.115","0.1","0.075","0.065","0.04","0.0195","0.0115","0.0085","0.007","0.006","0.005","0.005","0.0075"
"04-06-2025 09:00","1743930006","0.2575","0.156","0.155","0.115","0.095","0.075","0.065","0.04","0.019","0.012","0.008","0.0065","0.0055","0.005","0.0045","0.006"
"04-06-2025 10:00","1743933606","0.2535","0.1585","0.155","0.12","0.095","0.075","0.06","0.04","0.015","0.012","0.0085","0.007","0.0055","0.0055","0.0055","0.006"
"04-06-2025 11:00","1743937205","0.274","0.1605","0.155","0.125","0.095","0.075","0.055","0.034","0.0175","0.012","0.008","0.0065","0.0055","0.0045","0.0045","0.0055"
"04-06-2025 12:00","1743940805","0.255","0.174","0.16","0.13","0.095","0.075","0.055","0.0325","0.016","0.0115","0.008","0.0055","0.005","0.0055","0.0045","0.005"
"04-06-2025 13:00","1743944405","0.231","0.1815","0.16","0.13","0.095","0.075","0.055","0.033","0.0145","0.0115","0.008","0.0055","0.005","0.0055","0.0045","0.004"
"04-06-2025 14:00","1743948005","0.241","0.1745","0.16","0.115","0.095","0.07","0.055","0.0455","0.015","0.0125","0.008","0.0065","0.006","0.006","0.0055","0.0045"
"04-06-2025 15:00","1743951606","0.2335","0.1805","0.175","0.125","0.1","0.06","0.05","0.035","0.0175","0.0125","0.008","0.007","0.0045","0.0045","0.004","0.0065"
"04-06-2025 16:00","1743955206","0.267","0.1875","0.165","0.125","0.105","0.055","0.045","0.032","0.0125","0.0095","0.0065","0.0045","0.004","0.004","0.004","0.0035"
"04-06-2025 17:00","1743958806","0.3125","0.198","0.16","0.115","0.085","0.045","0.045","0.024","0.0135","0.0085","0.007","0.005","0.004","0.004","0.0035","0.0035"
"04-06-2025 18:00","1743962405","0.3525","0.203","0.135","0.095","0.075","0.045","0.032","0.0205","0.011","0.0065","0.0055","0.0045","0.0035","0.0035","0.003","0.0035"
"04-06-2025 19:00","1743966005","0.3595","0.205","0.105","0.085","0.075","0.055","0.0455","0.023","0.0165","0.0095","0.0075","0.0065","0.003","0.003","0.003","0.003"
"04-06-2025 20:00","1743969606","0.3765","0.2015","0.12","0.09","0.075","0.055","0.0435","0.0185","0.013","0.009","0.0085","0.005","0.003","0.003","0.003","0.003"
"04-06-2025 21:00","1743973205","0.459","0.196","0.12","0.075","0.055","0.04","0.0345","0.0175","0.0135","0.008","0.0065","0.005","0.003","0.0025","0.003","0.003"
"04-06-2025 22:00","1743976805","0.4905","0.158","0.11","0.085","0.055","0.033","0.0235","0.0165","0.0105","0.008","0.0055","0.005","0.0025","0.0025","0.0025","0.0025"
"04-06-2025 23:00","1743980406","0.4655","0.1595","0.12","0.085","0.055","0.036","0.029","0.016","0.0105","0.0075","0.0055","0.005","0.0025","0.0025","0.0025","0.0025"
"04-07-2025 00:00","1743984006","0.4515","0.1745","0.125","0.105","0.055","0.035","0.028","0.018","0.0105","0.0085","0.0055","0.005","0.0025","0.0025","0.002","0.0025"
"04-07-2025 01:00","1743987606","0.451","0.1935","0.13","0.105","0.06","0.024","0.0225","0.013","0.0085","0.0045","0.0055","0.0045","0.003","0.0025","0.002","0.0025"
"04-07-2025 02:00","1743991206","0.443","0.167","0.135","0.125","0.055","0.0245","0.0175","0.013","0.0085","0.0045","0.006","0.005","0.0015","0.0025","0.0025","0.0015"
"04-07-2025 03:00","1743994805","0.4935","0.1615","0.13","0.1","0.045","0.025","0.0145","0.013","0.007","0.004","0.004","0.003","0.0015","0.0015","0.0015","0.0015"
"04-07-2025 04:00","1743998405","0.55","0.158","0.115","0.07","0.045","0.025","0.0135","0.013","0.007","0.004","0.004","0.003","0.0015","0.0015","0.0015","0.0015"
"04-07-2025 05:00","1744002006","0.5245","0.1525","0.11","0.07","0.045","0.025","0.0135","0.0125","0.007","0.0045","0.004","0.003","0.0015","0.0015","0.0015","0.0015"
"04-07-2025 06:00","1744005605","0.5425","0.1815","0.1","0.085","0.045","0.025","0.013","0.0115","0.007","0.0045","0.004","0.003","0.0015","0.0015","0.0015","0.0015"
"04-07-2025 07:00","1744009206","0.6115","0.118","0.09","0.055","0.034","0.02","0.0085","0.011","0.0055","0.0045","0.004","0.0015","0.0025","0.0015","0.002","0.002"
"04-07-2025 08:00","1744012805","0.5895","0.1365","0.1","0.07","0.026","0.019","0.0085","0.0115","0.0065","0.0045","0.004","0.0015","0.002","0.0015","0.0015","0.002"
"04-07-2025 09:00","1744016405","0.703","0.1065","0.075","0.055","0.0255","0.017","0.007","0.012","0.0065","0.0045","0.003","0.0015","0.002","0.0015","0.002","0.0025"
"04-07-2025 10:00","1744020005","0.686","0.116","0.075","0.055","0.028","0.0165","0.01","0.009","0.0065","0.005","0.003","0.002","0.002","0.0025","0.002","0.002"
"04-07-2025 11:00","1744023605","0.6805","0.114","0.075","0.045","0.028","0.0145","0.009","0.008","0.0055","0.005","0.0025","0.0015","0.0015","0.002","0.002","0.002"
"04-07-2025 12:00","1744027205","0.6755","0.125","0.075","0.05","0.028","0.016","0.0075","0.008","0.006","0.005","0.0025","0.0015","0.0015","0.0015","0.002","0.0015"
"04-07-2025 13:00","1744030805","0.5865","0.156","0.075","0.075","0.028","0.017","0.008","0.008","0.0055","0.0045","0.0025","0.0015","0.0015","0.0015","0.002","0.0005"
"04-07-2025 14:00","1744034405","0.5895","0.1565","0.08","0.06","0.0305","0.017","0.008","0.0085","0.0065","0.0045","0.0035","0.0015","0.0015","0.0015","0.002","0.001"
"04-07-2025 15:00","1744038005","0.6265","0.173","0.08","0.06","0.0255","0.016","0.008","0.0085","0.0065","0.0045","0.0035","0.0015","0.0015","0.0015","0.002","0.001"
"04-07-2025 16:00","1744041606","0.6595","0.1715","0.08","0.06","0.0295","0.019","0.009","0.0085","0.0065","0.0045","0.0025","0.0015","0.0015","0.0015","0.0015","0.001"
"04-07-2025 17:00","1744045205","0.6895","0.118","0.08","0.06","0.029","0.0175","0.0085","0.007","0.005","0.0035","0.0025","0.0015","0.0015","0.0015","0.0015","0.0005"
"04-07-2025 18:00","1744048806","0.6965","0.114","0.07","0.06","0.041","0.0165","0.0095","0.006","0.005","0.0035","0.0025","0.002","0.0015","0.0015","0.0015","0.0005"
"04-07-2025 19:00","1744052405","0.7575","0.103","0.06","0.05","0.025","0.0155","0.007","0.006","0.005","0.004","0.0025","0.002","0.002","0.0015","0.0005","0.0005"
"04-07-2025 20:00","1744056006","0.7845","0.092","0.045","0.0345","0.0105","0.0125","0.0055","0.005","0.005","0.0035","0.003","0.002","0.0015","0.0015","0.0005","0.0005"
"04-07-2025 21:00","1744059606","0.7925","0.103","0.045","0.043","0.0105","0.0085","0.005","0.0055","0.004","0.003","0.0025","0.002","0.0015","0.0005","0.0005","0.0005"
"04-07-2025 22:00","1744063206","0.783","0.0905","0.06","0.033","0.0165","0.0065","0.005","0.005","0.004","0.003","0.0025","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-07-2025 23:00","1744066806","0.784","0.0915","0.055","0.026","0.0215","0.007","0.005","0.005","0.004","0.0025","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-08-2025 00:00","1744070406","0.783","0.0995","0.05","0.027","0.0205","0.0085","0.005","0.0045","0.0035","0.0025","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-08-2025 01:00","1744074005","0.6925","0.133","0.085","0.047","0.028","0.0085","0.0055","0.0045","0.0035","0.0015","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-08-2025 02:00","1744077606","0.7255","0.1195","0.08","0.045","0.022","0.0135","0.005","0.004","0.003","0.0015","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-08-2025 03:00","1744081206","0.7295","0.11","0.075","0.042","0.0235","0.013","0.004","0.003","0.003","0.0015","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-08-2025 04:00","1744084806","0.7355","0.1075","0.075","0.043","0.0255","0.013","0.0045","0.003","0.0025","0.0015","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-08-2025 05:00","1744088405","0.733","0.1145","0.075","0.0435","0.0215","0.0145","0.0045","0.0025","0.0025","0.0015","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-08-2025 06:00","1744092006","0.6395","0.1405","0.08","0.0455","0.0185","0.0105","0.0045","0.0025","0.0025","0.0015","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-08-2025 07:00","1744095606","0.608","0.157","0.085","0.0455","0.022","0.0105","0.0045","0.0025","0.0025","0.0015","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-08-2025 08:00","1744099206","0.701","0.134","0.08","0.045","0.018","0.0105","0.0035","0.0025","0.0025","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005","0.0005"
"04-08-2025 09:00","1744102805","0.7055","0.1055","0.07","0.041","0.023","0.009","0.004","0.0025","0.0025","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005","0.0005"
"04-08-2025 10:00","1744106405","0.7095","0.121","0.07","0.0375","0.0195","0.0085","0.004","0.0025","0.0025","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005","0.0005"
"04-08-2025 11:00","1744110006","0.6975","0.122","0.07","0.0365","0.02","0.008","0.004","0.0025","0.0025","0.0015","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-08-2025 12:00","1744113606","0.669","0.124","0.075","0.039","0.019","0.008","0.004","0.0025","0.0025","0.0015","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
"04-08-2025 13:00","1744117206","0.6895","0.15","0.08","0.043","0.022","0.0075","0.004","0.0025","0.0025","0.0015","0.0015","0.0015","0.0015","0.0005","0.0005","0.0005"
