"Date (UTC)","Timestamp (UTC)","<300","300-324","325-349","350-374","375-399","400-424","425-449","450-474","475-499","500-524","525-549","550+"
"01-17-2025 18:00","1737136804","0.065","0.105","0.105","0.135","0.145","0.19","0.185","0.2","0.145","0.13","0.11","0.105"
"01-17-2025 19:00","1737140403","0.05","0.033","0.06","0.065","0.11","0.15","0.115","0.115","0.115","0.11","0.085","0.095"
"01-17-2025 20:00","1737144003","0.06","0.033","0.07","0.065","0.115","0.16","0.125","0.11","0.095","0.095","0.065","0.105"
"01-17-2025 21:00","1737147604","0.045","0.0195","0.032","0.065","0.125","0.175","0.155","0.105","0.085","0.09","0.05","0.115"
"01-17-2025 22:00","1737151203","0.0425","0.031","0.0425","0.08","0.145","0.17","0.165","0.11","0.075","0.085","0.039","0.085"
"01-17-2025 23:00","1737154804","0.0415","0.046","0.0445","0.085","0.135","0.175","0.16","0.105","0.07","0.07","0.074","0.065"
"01-18-2025 00:00","1737158404","0.0455","0.0505","0.046","0.085","0.135","0.175","0.16","0.105","0.08","0.075","0.074","0.075"
"01-18-2025 01:00","1737162004","0.1205","0.0575","0.0525","0.075","0.135","0.175","0.125","0.105","0.075","0.04","0.018","0.08"
"01-18-2025 02:00","1737165604","0.0925","0.0705","0.0645","0.09","0.115","0.125","0.125","0.1","0.07","0.055","0.0245","0.185"
"01-18-2025 03:00","1737169204","0.0945","0.0785","0.07","0.09","0.11","0.13","0.115","0.095","0.07","0.05","0.019","0.135"
"01-18-2025 04:00","1737172804","0.0975","0.0765","0.075","0.095","0.11","0.13","0.115","0.1","0.07","0.055","0.0255","0.1"
"01-18-2025 05:00","1737176403","0.103","0.082","0.085","0.095","0.11","0.13","0.115","0.1","0.07","0.055","0.0265","0.095"
"01-18-2025 06:00","1737180003","0.106","0.085","0.082","0.095","0.12","0.125","0.115","0.1","0.075","0.055","0.028","0.1"
"01-18-2025 07:00","1737183603","0.1015","0.0695","0.0775","0.095","0.115","0.125","0.11","0.1","0.075","0.055","0.0275","0.115"
"01-18-2025 08:00","1737187203","0.135","0.0835","0.088","0.095","0.1","0.11","0.11","0.085","0.065","0.065","0.058","0.08"
"01-18-2025 09:00","1737190803","0.097","0.077","0.0725","0.1","0.105","0.115","0.105","0.09","0.07","0.05","0.043","0.13"
"01-18-2025 10:00","1737194403","0.0875","0.0735","0.0835","0.1","0.11","0.12","0.1","0.085","0.07","0.055","0.06","0.13"
"01-18-2025 11:00","1737198004","0.094","0.072","0.0765","0.095","0.105","0.115","0.105","0.075","0.07","0.045","0.0485","0.125"
"01-18-2025 12:00","1737201603","0.097","0.0665","0.0695","0.095","0.105","0.12","0.105","0.08","0.07","0.065","0.0575","0.125"
"01-18-2025 13:00","1737205204","0.1155","0.0725","0.0815","0.09","0.105","0.125","0.1","0.085","0.06","0.06","0.053","0.11"
"01-18-2025 14:00","1737208804","0.142","0.077","0.075","0.085","0.105","0.125","0.095","0.075","0.065","0.05","0.0465","0.105"
"01-18-2025 15:00","1737212403","0.1305","0.0975","0.074","0.095","0.1","0.115","0.1","0.08","0.065","0.05","0.043","0.11"
"01-18-2025 16:00","1737216004","0.1235","0.085","0.0765","0.095","0.11","0.115","0.1","0.08","0.065","0.05","0.045","0.12"
"01-18-2025 17:00","1737219604","0.1255","0.09","0.0775","0.1","0.11","0.12","0.1","0.08","0.065","0.05","0.042","0.105"
"01-18-2025 18:00","1737223204","0.1","0.0845","0.0755","0.1","0.125","0.11","0.105","0.09","0.065","0.06","0.05","0.095"
"01-18-2025 19:00","1737226804","0.0835","0.067","0.074","0.105","0.105","0.135","0.105","0.095","0.065","0.06","0.049","0.1"
"01-18-2025 20:00","1737230404","0.0835","0.0665","0.072","0.105","0.105","0.13","0.105","0.085","0.065","0.06","0.054","0.105"
"01-18-2025 21:00","1737234004","0.0945","0.075","0.093","0.105","0.105","0.12","0.105","0.085","0.065","0.055","0.0495","0.09"
"01-18-2025 22:00","1737237604","0.097","0.08","0.088","0.105","0.105","0.115","0.105","0.085","0.065","0.055","0.049","0.095"
"01-18-2025 23:00","1737241204","0.1155","0.0965","0.0965","0.095","0.115","0.105","0.095","0.075","0.065","0.055","0.0495","0.075"
"01-19-2025 00:00","1737244804","0.118","0.0985","0.0965","0.095","0.115","0.105","0.095","0.075","0.065","0.045","0.047","0.085"
"01-19-2025 01:00","1737248403","0.141","0.101","0.098","0.1","0.115","0.105","0.095","0.06","0.06","0.045","0.036","0.085"
"01-19-2025 02:00","1737252004","0.1595","0.102","0.0975","0.1","0.11","0.105","0.095","0.06","0.06","0.045","0.037","0.09"
"01-19-2025 03:00","1737255604","0.1485","0.0895","0.0965","0.095","0.1","0.1","0.095","0.055","0.055","0.045","0.0365","0.105"
"01-19-2025 04:00","1737259203","0.222","0.092","0.1035","0.1","0.1","0.105","0.07","0.06","0.05","0.052","0.035","0.09"
"01-19-2025 05:00","1737262803","0.2325","0.097","0.0955","0.1","0.1","0.1","0.07","0.065","0.05","0.0465","0.0415","0.095"
"01-19-2025 06:00","1737266404","0.2505","0.0965","0.0985","0.1","0.1","0.1","0.075","0.06","0.065","0.0505","0.043","0.085"
"01-19-2025 07:00","1737270003","0.2455","0.1025","0.103","0.095","0.09","0.1","0.075","0.06","0.05","0.0405","0.0435","0.085"
