"Date (UTC)","Timestamp (UTC)","<450","450-474","475-499","500-524","525-549","550-574","575-599","600-624","625-649","650-674","675-699","700-724","725-749","750-774","775-799","800+"
"03-07-2025 18:00","1741370405","0.075","0.065","0.085","0.075","0.125","0.115","0.105","0.085","0.075","0.055","0.065","0.0355","0.0215","0.0165","0.0145","0.032"
"03-07-2025 19:00","1741374005","0.075","0.055","0.08","0.08","0.08","0.11","0.12","0.1","0.085","0.065","0.075","0.0385","0.0315","0.017","0.02","0.045"
"03-07-2025 20:00","1741377604","0.085","0.055","0.06","0.075","0.085","0.11","0.115","0.125","0.085","0.07","0.075","0.039","0.032","0.0175","0.018","0.0385"
"03-07-2025 21:00","1741381205","0.085","0.085","0.075","0.075","0.095","0.125","0.105","0.095","0.075","0.06","0.05","0.0345","0.022","0.0165","0.012","0.0325"
"03-07-2025 22:00","1741384805","0.095","0.105","0.095","0.1","0.095","0.105","0.115","0.09","0.065","0.06","0.035","0.0245","0.018","0.0155","0.011","0.0225"
"03-07-2025 23:00","1741388405","0.095","0.085","0.095","0.095","0.095","0.105","0.125","0.085","0.065","0.055","0.0465","0.033","0.0155","0.0145","0.013","0.0205"
"03-08-2025 00:00","1741392005","0.1","0.095","0.095","0.1","0.1","0.105","0.13","0.09","0.065","0.06","0.046","0.0225","0.013","0.0125","0.0135","0.018"
"03-08-2025 01:00","1741395605","0.15","0.08","0.075","0.08","0.085","0.095","0.11","0.085","0.065","0.05","0.041","0.033","0.025","0.0175","0.016","0.036"
"03-08-2025 02:00","1741399205","0.165","0.085","0.075","0.1","0.09","0.095","0.105","0.085","0.065","0.05","0.032","0.0235","0.016","0.0175","0.0155","0.0335"
"03-08-2025 03:00","1741402805","0.15","0.095","0.085","0.095","0.095","0.095","0.095","0.075","0.065","0.05","0.031","0.0235","0.024","0.0165","0.016","0.022"
"03-08-2025 04:00","1741406405","0.155","0.115","0.105","0.095","0.095","0.105","0.095","0.065","0.065","0.045","0.0235","0.0215","0.017","0.0145","0.013","0.021"
"03-08-2025 05:00","1741410005","0.125","0.11","0.1","0.095","0.095","0.105","0.095","0.075","0.055","0.045","0.0235","0.019","0.0155","0.0145","0.0105","0.016"
"03-08-2025 06:00","1741413604","0.13","0.125","0.125","0.095","0.095","0.11","0.095","0.07","0.065","0.045","0.028","0.0185","0.0155","0.0135","0.0115","0.0165"
"03-08-2025 07:00","1741417205","0.14","0.125","0.115","0.11","0.085","0.105","0.1","0.075","0.06","0.05","0.0225","0.0185","0.0155","0.013","0.0105","0.0145"
"03-08-2025 08:00","1741420805","0.16","0.115","0.115","0.105","0.095","0.105","0.1","0.065","0.055","0.04","0.031","0.017","0.014","0.0135","0.009","0.017"
"03-08-2025 09:00","1741424405","0.155","0.115","0.115","0.095","0.105","0.095","0.095","0.07","0.065","0.036","0.0305","0.0185","0.015","0.012","0.0085","0.015"
"03-08-2025 10:00","1741428005","0.16","0.115","0.115","0.1","0.1","0.095","0.11","0.085","0.06","0.042","0.0435","0.017","0.013","0.0105","0.0085","0.0155"
"03-08-2025 11:00","1741431605","0.165","0.115","0.105","0.095","0.095","0.095","0.105","0.075","0.055","0.047","0.0415","0.017","0.0145","0.0115","0.0085","0.0155"
"03-08-2025 12:00","1741435204","0.155","0.115","0.105","0.1","0.085","0.095","0.105","0.075","0.055","0.0425","0.0345","0.018","0.014","0.012","0.0085","0.0155"
"03-08-2025 13:00","1741438805","0.165","0.125","0.115","0.095","0.095","0.085","0.085","0.065","0.045","0.0365","0.0295","0.014","0.013","0.013","0.0085","0.0155"
"03-08-2025 14:00","1741442405","0.165","0.125","0.115","0.095","0.095","0.085","0.085","0.065","0.045","0.0375","0.0255","0.016","0.014","0.0125","0.0085","0.0145"
"03-08-2025 15:00","1741446004","0.145","0.125","0.115","0.155","0.095","0.085","0.085","0.06","0.05","0.036","0.025","0.019","0.0135","0.013","0.0085","0.0115"
"03-08-2025 16:00","1741449605","0.175","0.125","0.105","0.105","0.1","0.085","0.085","0.06","0.05","0.042","0.0295","0.0145","0.0125","0.011","0.0075","0.0105"
"03-08-2025 17:00","1741453204","0.19","0.105","0.085","0.095","0.095","0.085","0.085","0.06","0.055","0.0385","0.027","0.0145","0.013","0.012","0.0085","0.009"
"03-08-2025 18:00","1741456805","0.2","0.115","0.1","0.095","0.095","0.085","0.07","0.06","0.045","0.042","0.029","0.0125","0.013","0.012","0.008","0.013"
"03-08-2025 19:00","1741460405","0.26","0.125","0.105","0.105","0.085","0.08","0.065","0.06","0.045","0.0315","0.023","0.0115","0.0105","0.011","0.0065","0.0085"
"03-08-2025 20:00","1741464005","0.285","0.13","0.095","0.105","0.085","0.075","0.065","0.055","0.045","0.0315","0.0235","0.0125","0.0115","0.0085","0.0065","0.008"
"03-08-2025 21:00","1741467605","0.285","0.13","0.105","0.105","0.085","0.075","0.055","0.05","0.045","0.0285","0.018","0.0155","0.0135","0.007","0.0065","0.0065"
