"Date (UTC)","Timestamp (UTC)","<250","250-274","275-299","300-324","325-349","350-374","375-399","400-424","425-449","450-474","475-499","500-524","525-549","550+"
"01-26-2025 10:00","1737885604","0.155","0.12","0.115","0.12","0.115","0.105","0.095","0.055","0.0465","0.0315","0.023","0.0135","0.0105","0.0085"
"01-26-2025 11:00","1737889203","0.155","0.12","0.115","0.12","0.115","0.105","0.095","0.055","0.046","0.03","0.022","0.0135","0.0105","0.008"
"01-26-2025 12:00","1737892804","0.16","0.125","0.12","0.125","0.115","0.105","0.095","0.06","0.0405","0.028","0.018","0.012","0.0105","0.008"
"01-26-2025 13:00","1737896404","0.165","0.13","0.135","0.125","0.115","0.105","0.095","0.06","0.036","0.026","0.018","0.012","0.012","0.008"
"01-26-2025 14:00","1737900004","0.135","0.13","0.135","0.125","0.115","0.105","0.095","0.06","0.037","0.027","0.018","0.012","0.011","0.009"
"01-26-2025 15:00","1737903604","0.15","0.13","0.135","0.13","0.115","0.11","0.095","0.06","0.0355","0.0265","0.018","0.012","0.011","0.009"
"01-26-2025 16:00","1737907204","0.16","0.13","0.14","0.125","0.115","0.11","0.095","0.06","0.035","0.0265","0.017","0.012","0.011","0.0095"
"01-26-2025 17:00","1737910804","0.175","0.145","0.135","0.125","0.115","0.105","0.095","0.055","0.031","0.021","0.016","0.012","0.01","0.0085"
"01-26-2025 18:00","1737914404","0.185","0.14","0.135","0.12","0.115","0.105","0.095","0.05","0.0315","0.0225","0.0175","0.0125","0.012","0.0095"
"01-26-2025 19:00","1737918004","0.195","0.145","0.135","0.12","0.115","0.105","0.08","0.05","0.0315","0.0225","0.014","0.0115","0.0115","0.0095"
"01-26-2025 20:00","1737921603","0.215","0.145","0.135","0.115","0.115","0.11","0.08","0.045","0.029","0.019","0.013","0.008","0.0085","0.009"
"01-26-2025 21:00","1737925203","0.225","0.145","0.125","0.115","0.115","0.105","0.075","0.045","0.029","0.0175","0.0135","0.009","0.009","0.0085"
"01-26-2025 22:00","1737928805","0.215","0.14","0.13","0.125","0.105","0.105","0.07","0.045","0.0285","0.0175","0.014","0.0095","0.009","0.005"
"01-26-2025 23:00","1737932404","0.2","0.145","0.135","0.125","0.105","0.105","0.07","0.045","0.0265","0.017","0.011","0.0115","0.0085","0.005"
"01-27-2025 00:00","1737936004","0.2","0.145","0.13","0.125","0.105","0.105","0.07","0.045","0.0255","0.017","0.0105","0.01","0.0055","0.004"
"01-27-2025 01:00","1737939604","0.225","0.16","0.14","0.125","0.105","0.105","0.07","0.04","0.0245","0.017","0.011","0.0105","0.006","0.0045"
"01-27-2025 02:00","1737943204","0.19","0.16","0.14","0.125","0.1","0.105","0.07","0.035","0.0235","0.0165","0.0155","0.01","0.0065","0.004"
