"Date (UTC)","Timestamp (UTC)","<500","500-549","550-599","600-649","650-699","700-749","750-799","800-849","850-899","900-949","950-999","1000+"
"02-14-2025 18:00","1739556005","0.175","0.105","0.125","0.135","0.13","0.095","0.085","0.065","0.055","0.0345","0.027","0.0255"
"02-14-2025 19:00","1739559605","0.19","0.12","0.115","0.125","0.125","0.095","0.075","0.055","0.0545","0.0255","0.0225","0.025"
"02-14-2025 20:00","1739563205","0.205","0.125","0.125","0.125","0.13","0.085","0.065","0.055","0.0575","0.026","0.0285","0.0175"
"02-14-2025 21:00","1739566804","0.19","0.095","0.12","0.12","0.135","0.075","0.09","0.075","0.078","0.034","0.0245","0.0175"
"02-14-2025 22:00","1739570404","0.27","0.095","0.11","0.1","0.115","0.09","0.08","0.08","0.044","0.0295","0.019","0.0195"
"02-14-2025 23:00","1739574004","0.255","0.115","0.115","0.105","0.105","0.095","0.065","0.065","0.057","0.0335","0.018","0.0175"
"02-15-2025 00:00","1739577604","0.235","0.13","0.105","0.105","0.105","0.085","0.055","0.07","0.057","0.0305","0.017","0.0175"
"02-15-2025 01:00","1739581204","0.255","0.135","0.105","0.105","0.105","0.085","0.055","0.065","0.055","0.0295","0.018","0.018"
"02-15-2025 02:00","1739584805","0.27","0.125","0.115","0.11","0.105","0.085","0.065","0.065","0.036","0.0225","0.0075","0.0175"
"02-15-2025 03:00","1739588404","0.275","0.125","0.115","0.11","0.105","0.085","0.06","0.065","0.0325","0.0215","0.0195","0.0145"
"02-15-2025 04:00","1739592005","0.235","0.17","0.12","0.11","0.105","0.08","0.065","0.05","0.042","0.019","0.0155","0.014"
"02-15-2025 05:00","1739595605","0.155","0.165","0.15","0.13","0.115","0.115","0.075","0.075","0.0525","0.0185","0.013","0.014"
"02-15-2025 06:00","1739599204","0.165","0.165","0.145","0.115","0.105","0.115","0.085","0.065","0.0425","0.018","0.014","0.014"
"02-15-2025 07:00","1739602804","0.195","0.145","0.13","0.115","0.1","0.095","0.095","0.065","0.0565","0.031","0.0155","0.014"
"02-15-2025 08:00","1739606404","0.195","0.155","0.13","0.125","0.105","0.095","0.09","0.06","0.0535","0.021","0.0125","0.0135"
"02-15-2025 09:00","1739610004","0.2","0.175","0.13","0.125","0.105","0.09","0.065","0.05","0.036","0.0145","0.012","0.011"
"02-15-2025 10:00","1739613604","0.215","0.105","0.125","0.13","0.125","0.115","0.075","0.065","0.042","0.0215","0.0125","0.0115"
"02-15-2025 11:00","1739617204","0.18","0.125","0.125","0.12","0.125","0.115","0.085","0.065","0.0425","0.0225","0.014","0.013"
"02-15-2025 12:00","1739620805","0.165","0.125","0.125","0.125","0.125","0.115","0.085","0.065","0.042","0.0195","0.016","0.0135"
"02-15-2025 13:00","1739624404","0.185","0.13","0.14","0.125","0.125","0.115","0.075","0.065","0.0405","0.018","0.016","0.0125"
"02-15-2025 14:00","1739628004","0.185","0.135","0.135","0.115","0.125","0.115","0.075","0.065","0.042","0.017","0.016","0.0125"
"02-15-2025 15:00","1739631605","0.185","0.135","0.135","0.12","0.13","0.115","0.075","0.065","0.043","0.018","0.014","0.0115"
"02-15-2025 16:00","1739635205","0.21","0.125","0.13","0.115","0.125","0.115","0.075","0.065","0.0405","0.0135","0.0135","0.0105"
"02-15-2025 17:00","1739638805","0.285","0.105","0.115","0.115","0.115","0.095","0.075","0.065","0.0405","0.013","0.0115","0.007"
"02-15-2025 18:00","1739642405","0.265","0.115","0.12","0.12","0.115","0.095","0.075","0.065","0.041","0.0135","0.0115","0.007"
"02-15-2025 19:00","1739646004","0.265","0.13","0.11","0.11","0.13","0.1","0.07","0.065","0.0435","0.0175","0.0145","0.01"
"02-15-2025 20:00","1739649604","0.265","0.12","0.125","0.115","0.12","0.09","0.06","0.065","0.0415","0.015","0.0095","0.0075"
"02-15-2025 21:00","1739653204","0.225","0.135","0.15","0.115","0.115","0.085","0.055","0.065","0.0405","0.011","0.0075","0.0075"
"02-15-2025 22:00","1739656804","0.225","0.14","0.155","0.115","0.115","0.09","0.06","0.065","0.0405","0.0155","0.0065","0.0075"
"02-15-2025 23:00","1739660404","0.205","0.15","0.165","0.125","0.115","0.085","0.065","0.065","0.0405","0.012","0.0065","0.0065"
"02-16-2025 00:00","1739664004","0.18","0.135","0.13","0.14","0.125","0.105","0.075","0.065","0.0575","0.0125","0.008","0.007"
"02-16-2025 01:00","1739667604","0.165","0.135","0.15","0.135","0.135","0.085","0.075","0.07","0.064","0.014","0.009","0.0065"
"02-16-2025 02:00","1739671204","0.165","0.14","0.145","0.15","0.135","0.08","0.08","0.075","0.0495","0.0115","0.0125","0.011"
"02-16-2025 03:00","1739674805","0.155","0.135","0.155","0.145","0.135","0.085","0.075","0.065","0.052","0.015","0.013","0.0125"
"02-16-2025 04:00","1739678404","0.335","0.155","0.145","0.105","0.105","0.055","0.05","0.035","0.0495","0.007","0.0065","0.008"
"02-16-2025 05:00","1739682004","0.405","0.155","0.135","0.08","0.065","0.0455","0.0325","0.034","0.034","0.0055","0.0055","0.0045"
"02-16-2025 06:00","1739685604","0.4","0.17","0.125","0.115","0.085","0.0365","0.0325","0.0195","0.0155","0.0055","0.0035","0.0025"
